wavelength(um) n 
0.3800	1.5370737265767
0.4012	1.5339167755148
0.4224	1.5312717905987
0.4436	1.5290258033694
0.4648	1.5270967305887
0.4860	1.5254232514698
0.5072	1.5239585439877
0.5284	1.5226662128668
0.5496	1.5215175400045
0.5708	1.5204895710978
0.5920	1.5195637510252
0.6132	1.5187249303819
0.6344	1.5179606294167
0.6556	1.5172604843109
0.6768	1.5166158250071
0.6980	1.5160193494737
0.7192	1.5154648696662
0.7404	1.51494711147
0.7616	1.5144615557515
0.7828	1.5140043110388
0.8040	1.5135720107687
0.8252	1.5131617297832
0.8464	1.5127709160261
0.8676	1.5123973343378
0.8888	1.5120390199396
0.9100	1.5116942397361
0.9312	1.5113614599564
0.9524	1.5110393189716
0.9736	1.5107266043562
0.9948	1.5104222334497
1.016	1.5101252368185
1.037	1.5098374567309
1.058	1.5095552965933
1.080	1.509264979336
1.101	1.5089922512941
1.122	1.5087232421544
1.143	1.5084574406379
1.164	1.508194380889
1.186	1.5079212722444
1.207	1.5076625388965
1.228	1.507405359988
1.249	1.5071494092982
1.270	1.5068943866631
1.292	1.5066279142902
1.313	1.5063739516817
1.334	1.5061201377491
1.355	1.5058662542383
1.376	1.5056120985329
1.398	1.5053453431013
1.419	1.5050900561954
1.440	1.5048339618856
1.461	1.5045769076113
1.482	1.5043187505443
1.504	1.5040469716429
1.525	1.5037861474273
1.546	1.5035238368657
1.567	1.5032599287385
1.588	1.5029943180607
1.610	1.5027141250801
1.631	1.502444724242
1.652	1.502173334296
1.673	1.5018998707313
1.694	1.5016242531192
1.716	1.5013331170175
1.737	1.5010528532911
1.758	1.5007702123833
1.779	1.5004851273726
1.800	1.5001975340481
1.822	1.499893488274
1.843	1.4996005688515
1.864	1.4993049600663
1.885	1.4990066067123
1.906	1.4987054553939
1.928	1.498386906208
1.949	1.4980798660156
1.970	1.4977698749059
1.991	1.4974568854904
2.012	1.4971408515839
2.034	1.4968064539338
2.055	1.4964840465247
2.076	1.4961584603279
2.097	1.4958296531129
2.118	1.4954975834299
2.140	1.4951461573267
2.161	1.4948072809528
2.182	1.4944650199224
2.203	1.4941193352965
2.224	1.4937701886152
2.246	1.4934006611995
2.267	1.4930443073055
2.288	1.4926843766054
2.309	1.492320832105
2.330	1.4919536370677
2.352	1.4915650013398
2.373	1.4911902176612
2.394	1.4908116727048
2.415	1.4904293304206
2.436	1.4900431548486
2.458	1.4896344394096
2.479	1.4892403027522
2.500	1.4888422234815
